date,spy_adj_close,overlay_direction,is_long_allowed,hh_hl_count,lh_ll_count,transition_count,sector_count,daily_return,overlay_position,baseline_position,baseline_strategy_return,overlay_strategy_return,baseline_equity,overlay_equity
2015-03-16,172.73367309570312,HH/HL,True,5.0,3.0,1.0,9.0,0.013360548984636456,1,1,0.013360548984636456,0.013360548984636456,2.0370404893385365,1.1643502587383412
2015-03-17,172.22021484375,HH/HL,True,5.0,3.0,1.0,9.0,-0.0029725428907463325,1,1,-0.0029725428907463325,-0.0029725428907463325,2.030985299113791,1.16088917765439
2015-03-18,174.29052734375,HH/HL,True,5.0,3.0,1.0,9.0,0.012021309472168173,1,1,0.012021309472168173,0.012021309472168173,2.0554004019278618,1.1748445857218641
2015-03-19,173.4955596923828,HH/HL,True,5.0,3.0,1.0,9.0,-0.004561163842251137,1,1,-0.004561163842251137,-0.004561163842251137,2.04602538393324,1.1694859270772051
2015-03-20,175.0269775390625,LH/LL,False,4.0,5.0,0.0,9.0,0.00882684173240511,1,1,0.00882684173240511,0.00882684173240511,2.064085326177702,1.1798087942637907
2015-03-23,174.68585205078125,LH/LL,False,4.0,5.0,0.0,9.0,-0.001948988053599443,0,1,-0.001948988053599443,-0.0,2.060062448535372,1.1798087942637907
2015-03-24,173.704345703125,LH/LL,False,4.0,5.0,0.0,9.0,-0.005618693993437618,0,1,-0.005618693993437618,-0.0,2.04848758802968,1.1798087942637907
2015-03-25,171.1588897705078,LH/LL,False,4.0,5.0,0.0,9.0,-0.014653956539277257,0,1,-0.014653956539277257,-0.0,2.018469139943444,1.1798087942637907
2015-03-26,170.75135803222656,LH/LL,False,4.0,5.0,0.0,9.0,-0.0023810141490615555,0,1,-0.0023810141490615555,-0.0,2.0136631363617945,1.1798087942637907
2015-03-27,171.142333984375,LH/LL,False,3.0,5.0,1.0,9.0,0.002289738463307822,0,1,0.002289738463307822,0.0,2.018273898297267,1.1798087942637907
2015-03-30,173.23013305664062,LH/LL,False,3.0,5.0,1.0,9.0,0.012199197145787544,0,1,0.012199197145787544,0.0,2.0428952194767924,1.1798087942637907
2015-03-31,171.71621704101562,LH/LL,False,3.0,5.0,1.0,9.0,-0.008739334138420318,0,1,-0.008739334138420318,-0.0,2.0250416755440033,1.1798087942637907
2015-04-01,171.10899353027344,LH/LL,False,3.0,5.0,1.0,9.0,-0.0035362036341456404,0,1,-0.0035362036341456404,-0.0,2.017880715811648,1.1798087942637907
2015-04-02,171.72457885742188,LH/LL,False,3.0,5.0,1.0,9.0,0.003597621109491911,0,1,0.003597621109491911,0.0,2.025140286071289,1.1798087942637907
2015-04-06,172.88082885742188,TRANSITION,False,4.0,4.0,1.0,9.0,0.006733165442554423,0,1,0.006733165442554423,0.0,2.038775890661789,1.1798087942637907
2015-04-07,172.42332458496094,TRANSITION,False,4.0,4.0,1.0,9.0,-0.0026463563107870236,0,1,-0.0026463563107870236,-0.0,2.0333805632172557,1.1798087942637907
2015-04-08,173.00564575195312,TRANSITION,False,4.0,4.0,1.0,9.0,0.003377276063977419,0,1,0.003377276063977419,0.0,2.0402478507223663,1.1798087942637907
2015-04-09,173.77088928222656,TRANSITION,False,4.0,4.0,1.0,9.0,0.004423228657928435,0,1,0.004423228657928435,0.0,2.0492723334849585,1.1798087942637907
2015-04-10,174.71917724609375,TRANSITION,False,4.0,4.0,1.0,9.0,0.005457116366177184,0,1,0.005457116366177184,0.0,2.0604554510747732,1.1798087942637907
2015-04-13,173.92889404296875,TRANSITION,False,4.0,4.0,1.0,9.0,-0.004523162343031628,0,1,-0.004523162343031628,-0.0,2.0511356765689777,1.1798087942637907
2015-04-14,174.26165771484375,TRANSITION,False,4.0,4.0,1.0,9.0,0.0019132167412780898,0,1,0.0019132167412780898,0.0,2.055059943684022,1.1798087942637907
2015-04-15,175.04360961914062,TRANSITION,False,4.0,4.0,1.0,9.0,0.0044872286568995445,0,1,0.0044872286568995445,0.0,2.0642814675549674,1.1798087942637907
2015-04-16,174.9936981201172,TRANSITION,False,4.0,4.0,1.0,9.0,-0.0002851375102012055,0,1,-0.0002851375102012055,-0.0,2.0636928634769545,1.1798087942637907
2015-04-17,172.98060607910156,HH/HL,True,4.0,3.0,2.0,9.0,-0.011503797351798517,0,1,-0.011503797351798517,-0.0,2.039952558979163,1.1798087942637907
2015-04-20,174.56112670898438,HH/HL,True,4.0,3.0,2.0,9.0,0.00913698168660626,1,1,0.00913698168660626,0.00913698168660626,2.058591568152101,1.190588685610676
2015-04-21,174.35317993164062,HH/HL,True,4.0,3.0,2.0,9.0,-0.001191254784293494,1,1,-0.001191254784293494,-0.001191254784293494,2.0561392610976337,1.1891703911428166
2015-04-22,175.20994567871094,HH/HL,True,4.0,3.0,2.0,9.0,0.004913966853981266,1,1,0.004913966853981266,0.004913966853981266,2.066243061273837,1.1950139350286284
2015-04-23,175.65078735351562,HH/HL,True,4.0,3.0,2.0,9.0,0.0025160767734788703,1,1,0.0025160767734788703,0.0025160767734788703,2.07144188744867,1.1980206818345376
2015-04-24,176.0584259033203,LH/LL,False,2.0,3.0,4.0,9.0,0.0023207328355681067,1,1,0.0023207328355681067,0.0023207328355681067,2.0762491506538434,1.2008009677685607
2015-04-27,175.3264617919922,LH/LL,False,2.0,3.0,4.0,9.0,-0.00415750684792604,0,1,-0.00415750684792604,-0.0,2.0676171305919993,1.2008009677685607
2015-04-28,175.88369750976562,LH/LL,False,2.0,3.0,4.0,9.0,0.0031782750423294814,0,1,0.0031782750423294814,0.0,2.0741885865152527,1.2008009677685607
2015-04-29,175.16004943847656,LH/LL,False,2.0,3.0,4.0,9.0,-0.004114355574364015,0,1,-0.004114355574364015,-0.0,2.0656546371420417,1.2008009677685607
2015-04-30,173.40489196777344,LH/LL,False,2.0,3.0,4.0,9.0,-0.010020307006818996,0,1,-0.010020307006818996,-0.0,2.044956143507819,1.2008009677685607
2015-05-01,175.28477478027344,LH/LL,False,2.0,4.0,3.0,9.0,0.010841002183775483,0,1,0.010841002183775483,0.0,2.0671255175253123,1.2008009677685607
2015-05-04,175.7838897705078,LH/LL,False,2.0,4.0,3.0,9.0,0.0028474520440240347,0,1,0.0028474520440240347,0.0,2.073011558305444,1.2008009677685607
2015-05-05,173.77088928222656,LH/LL,False,2.0,4.0,3.0,9.0,-0.01145156413883719,0,1,-0.01145156413883719,-0.0,2.049272333484958,1.2008009677685607
2015-05-06,173.05548095703125,LH/LL,False,2.0,4.0,3.0,9.0,-0.004116963020390552,0,1,-0.004116963020390552,-0.0,2.040835555069291,1.2008009677685607
2015-05-07,173.74591064453125,LH/LL,False,2.0,4.0,3.0,9.0,0.003989643573735879,0,1,0.003989643573735879,0.0,2.0489777615266247,1.2008009677685607
2015-05-08,176.0334930419922,LH/LL,False,2.0,5.0,2.0,9.0,0.013166251734932244,0,1,0.013166251734932244,0.0,2.075955118534162,1.2008009677685607
2015-05-11,175.19325256347656,LH/LL,False,2.0,5.0,2.0,9.0,-0.004773185284207226,0,1,-0.004773185284207226,-0.0,2.0660462001117,1.2008009677685607
2015-05-12,174.66925048828125,LH/LL,False,2.0,5.0,2.0,9.0,-0.0029909946161051915,0,1,-0.0029909946161051915,-0.0,2.0598666670505414,1.2008009677685607
2015-05-13,174.70248413085938,LH/LL,False,2.0,5.0,2.0,9.0,0.00019026613147543614,0,1,0.00019026613147543614,0.0,2.060258589912636,1.2008009677685607
2015-05-14,176.52427673339844,LH/LL,False,2.0,5.0,2.0,9.0,0.010427971940996983,0,1,0.010427971940996983,0.0,2.081742908679443,1.2008009677685607
2015-05-15,176.71559143066406,LH/LL,False,2.0,5.0,2.0,9.0,0.0010837868921256266,0,1,0.0010837868921256266,0.0,2.083999074356645,1.2008009677685607
2015-05-18,177.2646026611328,LH/LL,False,2.0,5.0,2.0,9.0,0.0031067503779607097,0,1,0.0031067503779607097,0.0,2.0904735392685727,1.2008009677685607
2015-05-19,177.20639038085938,LH/LL,False,2.0,5.0,2.0,9.0,-0.00032839201622625325,0,1,-0.00032839201622625325,-0.0,2.0897870444481446,1.2008009677685607
2015-05-20,177.08157348632812,LH/LL,False,2.0,5.0,2.0,9.0,-0.0007043588792875477,0,1,-0.0007043588792875477,-0.0,2.0883150843875673,1.2008009677685607
2015-05-21,177.5973358154297,LH/LL,False,2.0,5.0,2.0,9.0,0.002912569156391598,0,1,0.002912569156391598,0.0,2.0943974464911816,1.2008009677685607
2015-05-22,177.17311096191406,LH/LL,False,2.0,4.0,3.0,9.0,-0.0023886892873016263,0,1,-0.0023886892873016263,-0.0,2.0893945817473965,1.2008009677685607
2015-05-26,175.26821899414062,LH/LL,False,2.0,4.0,3.0,9.0,-0.010751586160176019,0,1,-0.010751586160176019,-0.0,2.0669302758791344,1.2008009677685607
2015-05-27,176.93185424804688,LH/LL,False,2.0,4.0,3.0,9.0,0.009491939060337407,0,1,0.009491939060337407,0.0,2.0865494520997454,1.2008009677685607
2015-05-28,176.73223876953125,LH/LL,False,2.0,4.0,3.0,9.0,-0.0011282054289432075,0,1,-0.0011282054289432075,-0.0,2.084195395680128,1.2008009677685607
2015-05-29,175.6342010498047,LH/LL,False,4.0,5.0,0.0,9.0,-0.006213001812071517,0,1,-0.006213001812071517,-0.0,2.0712462859100564,1.2008009677685607
2015-06-01,175.99191284179688,LH/LL,False,4.0,5.0,0.0,9.0,0.0020366864190122236,0,1,0.0020366864190122236,0.0,2.0754647650909988,1.2008009677685607
2015-06-02,175.81719970703125,LH/LL,False,4.0,5.0,0.0,9.0,-0.0009927338815999276,0,1,-0.0009927338815999276,-0.0,2.073404380898626,1.2008009677685607
2015-06-03,176.28302001953125,LH/LL,False,4.0,5.0,0.0,9.0,0.0026494581490104085,0,1,0.0026494581490104085,0.0,2.078897779031792,1.2008009677685607
2015-06-04,174.79405212402344,LH/LL,False,4.0,5.0,0.0,9.0,-0.008446462372512342,0,1,-0.008446462372512342,-0.0,2.0613384471649003,1.2008009677685607
2015-06-05,174.49461364746094,LH/LL,False,3.0,4.0,2.0,9.0,-0.0017130930539331901,0,1,-0.0017130930539331901,-0.0,2.0578071825892565,1.2008009677685607
2015-06-08,173.42149353027344,LH/LL,False,3.0,4.0,2.0,9.0,-0.0061498753156677965,0,1,-0.0061498753156677965,-0.0,2.045151924992647,1.2008009677685607
2015-06-09,173.3966064453125,LH/LL,False,3.0,4.0,2.0,9.0,-0.0001435063466144193,0,1,-0.0001435063466144193,-0.0,2.04485843271162,1.2008009677685607
2015-06-10,175.47618103027344,LH/LL,False,3.0,4.0,2.0,9.0,0.011993167730285581,0,1,0.011993167730285581,0.0,2.0693827628798194,1.2008009677685607
2015-06-11,176.04180908203125,LH/LL,False,3.0,4.0,2.0,9.0,0.0032233893422848325,0,1,0.0032233893422848325,0.0,2.0760531892227942,1.2008009677685607
2015-06-12,174.69419860839844,LH/LL,False,2.0,4.0,3.0,9.0,-0.00765505921951104,0,1,-0.00765505921951104,-0.0,2.060160879116439,1.2008009677685607
2015-06-15,173.94558715820312,LH/LL,False,2.0,4.0,3.0,9.0,-0.004285267949128757,0,1,-0.004285267949128757,-0.0,2.0513325377311125,1.2008009677685607
2015-06-16,174.89385986328125,LH/LL,False,2.0,4.0,3.0,9.0,0.005451547926971445,0,1,0.005451547926971445,0.0,2.0625154753747097,1.2008009677685607
2015-06-17,175.17666625976562,LH/LL,False,2.0,4.0,3.0,9.0,0.0016170172966931684,0,1,0.0016170172966931684,0.0,2.0658505985730877,1.2008009677685607
